x,y,type
3.019019375072174,0.47556616382047157,Waypoint
4.777416536649127,1.0012230023907893,Waypoint
6.696603709054364,1.2235395192995828,Waypoint
8.747162010393087,1.2469878582246814,Waypoint
10.899672558770474,1.1760401628439112,Waypoint
13.12471647229172,1.1151685768351016,Waypoint
15.392874869062016,1.168845243876079,Waypoint
17.674229624659738,1.4352396044497286,Waypoint
19.929138485343618,1.889758518448527,Waypoint
22.10912196869903,2.396242970656952,Waypoint
24.165379238657437,2.8144770064117837,Waypoint
26.049109459150344,3.0042446710498076,Waypoint
27.711511794109228,2.8253300099078045,Waypoint
29.105133654039733,2.1478495873491474,Waypoint
30.200990675908535,0.9834543910074199,Waypoint
30.98349064304394,-0.5535715792870132,Waypoint
31.43734138419164,-2.34664487414904,Waypoint
31.547250728097367,-4.279182044193542,Waypoint
31.29792650350684,-6.234599640035391,Waypoint
30.67409306917889,-8.096344159929107,Waypoint
29.678857752394553,-9.781166765124716,Waypoint
28.368892664592263,-11.302862632513106,Waypoint
26.810572834490497,-12.692805840330488,Waypoint
25.070273290807748,-13.982370466813059,Waypoint
23.214369062262485,-15.20293059019702,Waypoint
21.30913885578455,-16.385792086256426,Waypoint
19.401433066440042,-17.548504247512078,Waypoint
17.495232237304982,-18.678261557889353,Waypoint
15.588789595149292,-19.758203166803096,Waypoint
13.680358366742906,-20.771468223668144,Waypoint
11.76819177885572,-21.70119587789934,Waypoint
9.850543058257664,-22.530525278911526,Waypoint
7.9289881589391165,-23.236400905295287,Waypoint
6.031680738304113,-23.746217539566892,Waypoint
4.199526013819852,-23.96359680687942,Waypoint
2.4735185500566463,-23.79292006957206,Waypoint
0.8951841873791192,-23.193166713044057,Waypoint
-0.49312770195450756,-22.20794865028473,Waypoint
-1.6492746379687404,-20.88819645454506,Waypoint
-2.548713319132995,-19.287235238184497,Waypoint
-3.194730688720077,-17.46217668858859,Waypoint
-3.593073330262173,-15.470467151082305,Waypoint
-3.749487827291472,-13.369552970990636,Waypoint
-3.669720763340167,-11.216880493638532,Waypoint
-3.3595187219404408,-9.069896064350978,Waypoint
-2.824628286624484,-6.986046028452933,Waypoint
-2.0707960409244834,-5.022776731269382,Waypoint
-1.1037685683726277,-3.2375345181252917,Waypoint
0.0707075474988863,-1.6877657343456474,Waypoint
1.4468857231578842,-0.4309167252553983,Waypoint
3.0190193750721717,0.47556616382047123,Waypoint
